Filename,ClassId
05020,28
09047,38
05787,13
12579,20
08607,14
04660,10
01699,27
07775,28
06135,2
06692,42
08266,38
04201,12
05441,6
05833,7
09854,29
09426,5
09381,35
12118,12
06926,2
06554,35
02838,6
07314,1
07810,7
07462,15
06585,10
06222,4
09885,13
05490,40
09350,42
05337,22
00469,7
01229,10
04577,13
04905,10
08962,38
08510,30
06643,11
10928,5
07003,7
04116,5
01648,10
08171,15
09096,3
09731,38
00008,25
05756,9
00296,33
12091,1
09208,13
00531,15
00943,0
04388,4
01371,25
08448,14
10063,35
07948,35
02264,13
11623,25
03383,11
11184,3
03856,9
03424,12
01710,1
08029,17
12357,13
09669,25
00150,7
11242,10
11997,8
03045,35
10402,10
10870,35
02605,2
02173,6
10374,38
03733,11
11293,22
03094,14
11534,7
11946,38
05178,4
00626,28
12386,15
00181,4
12421,22
01066,31
04738,7
03352,9
03887,38
11155,3
02960,14
02512,5
10715,13
07999,1
04359,10
01407,17
01875,38
08499,10
00247,8
05519,28
00992,7
12040,26
10250,41
10985,1
07709,4
02057,38
11862,12
11410,30
03617,21
06149,18
12505,14
00702,39
01142,3
11071,9
06528,24
03276,2
10631,18
02391,1
10196,33
02436,13
02844,8
07368,2
01284,11
01951,25
01523,13
12164,2
00363,38
09828,39
00867,9
00415,10
12612,39
01255,12
04979,38
01980,10
02340,7
02895,4
10147,38
03500,2
03972,17
11707,14
01634,20
01193,10
00074,5
12273,8
03161,10
11366,27
06198,17
02721,2
10281,36
02086,28
10954,14
10526,21
07546,1
07934,25
02218,42
03458,5
06306,1
09274,40
05213,14
04821,42
04453,25
08434,12
08846,23
08393,3
11599,21
06767,8
03039,42
02679,1
07127,1
07680,25
04032,21
08055,18
04795,0
09615,10
05672,4
05104,2
09163,18
08084,35
08723,13
04744,4
10308,5
07651,3
11548,26
06011,15
08897,10
04482,9
08342,38
04325,4
01809,35
05917,15
05565,8
09502,11
09970,17
03489,12
11129,15
06470,35
06802,25
10769,10
07597,31
07230,11
03610,12
11417,3
11865,4
10982,2
02050,39
10257,8
01145,14
00705,16
12502,42
10191,12
02843,5
02431,12
10636,12
02396,24
03271,11
06288,32
11076,2
00364,3
05848,9
12163,25
01524,28
01956,4
01283,36
01987,22
01252,8
08919,2
12615,10
05899,14
00412,2
00860,5
11700,10
03975,40
03507,12
06259,4
02892,7
10140,31
07419,7
02347,29
12274,13
00073,34
01194,7
01633,12
02081,9
10521,2
10953,2
02726,10
07078,10
10286,9
11361,8
06638,5
03166,16
11658,42
06301,2
10018,38
07933,10
07541,18
08394,18
04454,18
04826,2
08841,29
08433,17
09273,2
05214,5
00938,42
07687,1
10479,5
07120,10
11239,23
03799,30
06760,2
09612,13
05675,8
04792,4
04035,2
08052,18
08724,1
04743,18
08083,38
05103,5
09164,36
03748,12
06016,8
07656,15
02108,36
05562,26
05910,2
09977,18
09505,1
08345,7
04322,10
08890,32
04485,13
02569,14
07237,12
07590,25
06805,22
06477,31
03329,25
11689,13
08600,5
01139,35
04667,40
05780,34
05027,6
00779,33
09040,1
